experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE21,1,28.96,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE21,2,15.67,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE21,3,24.19,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE22,0,36.85,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE22,1,31.37,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE22,2,36.17,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE22,3,30.73,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE23,0,36.16,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE23,1,29.97,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE23,2,34.42,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE23,3,30.49,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE24,0,31.96,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE24,1,44.94,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE24,2,32.21,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE24,3,31.45,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE25,0,33.44,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE25,1,34.88,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE25,2,32.5,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE25,3,28.57,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE26,0,25.92,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE26,1,25.5,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE26,2,11.08,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE26,3,28.49,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE27,0,37.4,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE27,1,27.46,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE27,2,7.52,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE27,3,34.12,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE28,0,13.9,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE28,1,14.05,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE28,2,14.12,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE28,3,14.35,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE29,0,34.62,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE29,1,21.42,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE29,2,35.33,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE29,3,31.59,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE30,0,40.16,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE30,1,34.84,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE30,2,41.55,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE30,3,37.62,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE31,0,34.64,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE31,1,35.43,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE31,2,38.94,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE31,3,33.07,ns
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C0,0,633600.0,occupancy_cycles
correlation-fio-randwrite-cores1,pcm_cha,drd_occ_agg,SKT0C0,1,227472.0,occupancy_cycles
